2026-02-18 16:33:40,226 | INFO     | test | Logger initialized
2026-02-18 16:33:45,083 | INFO     | test_login | Starting test: test_valid_login
2026-02-18 16:33:46,994 | INFO     | test_login | Navigated to https://www.saucedemo.com
2026-02-18 16:33:46,995 | INFO     | pages.login_page | Starting login process.
2026-02-18 16:33:47,746 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 16:33:47,787 | INFO     | pages.login_page | Entering password.
2026-02-18 16:33:48,095 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 16:33:48,096 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 16:33:48,475 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 16:33:48,475 | INFO     | pages.login_page | Checking if login was successful.
2026-02-18 16:33:51,506 | INFO     | pages.login_page | No alert detected, checking dashboard element.
2026-02-18 16:33:51,524 | INFO     | pages.login_page | Login successful
2026-02-18 16:33:51,524 | INFO     | test_login | Login successful with valid credentials.
2026-02-18 16:33:51,529 | INFO     | test_login | Starting test: test_invalid_login
2026-02-18 16:33:51,646 | INFO     | test_login | Navigated to https://www.saucedemo.com
2026-02-18 16:33:51,646 | INFO     | pages.login_page | Starting login process.
2026-02-18 16:33:51,757 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 16:33:51,794 | INFO     | pages.login_page | Entering password.
2026-02-18 16:33:51,929 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 16:33:51,930 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 16:33:52,056 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 16:33:52,094 | INFO     | test_login | Actual error message: Epic sadface: Username and password do not match any user in this service
2026-02-18 16:33:52,095 | INFO     | test_login | Invalid login correctly showed expected error message
2026-02-18 16:33:52,097 | INFO     | test_login | starting test: test_invalid_username
2026-02-18 16:33:52,159 | INFO     | test_login | navigated to https://www.saucedemo.com
2026-02-18 16:33:52,160 | INFO     | pages.login_page | Starting login process.
2026-02-18 16:33:52,283 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 16:33:52,308 | INFO     | pages.login_page | Entering password.
2026-02-18 16:33:52,386 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 16:33:52,386 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 16:33:52,440 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 16:33:52,456 | INFO     | test_login | Actual error message: Epic sadface: Username is required
2026-02-18 16:33:52,457 | INFO     | test_login | Invalid username correctly showed expected error message
2026-02-18 16:33:52,458 | INFO     | test_login | starting test: test_invalid_password
2026-02-18 16:33:52,497 | INFO     | test_login | navigated to https://www.saucedemo.com
2026-02-18 16:33:52,499 | INFO     | pages.login_page | Starting login process.
2026-02-18 16:33:52,595 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 16:33:52,619 | INFO     | pages.login_page | Entering password.
2026-02-18 16:33:52,677 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 16:33:52,677 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 16:33:52,727 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 16:33:52,743 | INFO     | test_login | Actual error message: Epic sadface: Password is required
2026-02-18 16:33:52,743 | INFO     | test_login | Invalid password correctly showed expected error message
2026-02-18 16:33:52,745 | INFO     | test_login | starting test: test_blank_credentials
2026-02-18 16:33:52,782 | INFO     | test_login | navigated to https://www.saucedemo.com
2026-02-18 16:33:52,783 | INFO     | pages.login_page | Starting login process.
2026-02-18 16:33:52,855 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 16:33:52,862 | INFO     | pages.login_page | Entering password.
2026-02-18 16:33:52,919 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 16:33:52,919 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 16:33:52,968 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 16:33:52,981 | INFO     | test_login | Actual error message: Epic sadface: Username is required
2026-02-18 16:33:52,982 | INFO     | test_login | Blank credentials correctly showed expected error message
2026-02-18 16:33:52,983 | INFO     | test_login | starting test: test_login_btn_enabled
2026-02-18 16:33:53,013 | INFO     | test_login | navigated to https://www.saucedemo.com
2026-02-18 16:33:53,066 | INFO     | test_login | Login button is enabled before username and password are entered
