2026-02-05 23:43:31,993 | INFO     | test | Logger initialized
2026-02-05 23:43:33,589 | INFO     | test_login | Starting test: test_invalid_login
2026-02-05 23:43:34,242 | INFO     | test_login | Navigated to https://www.saucedemo.com
2026-02-05 23:43:34,244 | INFO     | pages.login_page | Starting login process.
2026-02-05 23:43:34,471 | INFO     | pages.login_page | Username entered successfully.
2026-02-05 23:43:34,493 | INFO     | pages.login_page | Entering password.
2026-02-05 23:43:34,647 | INFO     | pages.login_page | Password entered successfully.
2026-02-05 23:43:34,648 | INFO     | pages.login_page | Clicking the login button.
2026-02-05 23:43:45,059 | ERROR    | pages.login_page | Login failed due to timeout while waiting for elements.
