2026-02-18 15:05:31,758 | INFO     | test | Logger initialized
2026-02-18 15:05:37,374 | INFO     | test_login | Starting test: test_valid_login
2026-02-18 15:05:38,551 | INFO     | test_login | Navigated to https://www.saucedemo.com
2026-02-18 15:05:38,554 | INFO     | pages.login_page | Starting login process.
2026-02-18 15:05:38,764 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 15:05:38,781 | INFO     | pages.login_page | Entering password.
2026-02-18 15:05:38,914 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 15:05:38,915 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 15:05:48,605 | ERROR    | test_login | Login failed: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-02-18 15:05:49,807 | INFO     | test_login | Starting test: test_invalid_login
2026-02-18 15:06:06,344 | INFO     | test_login | starting test: test_invalid_username
2026-02-18 15:06:22,827 | INFO     | test_login | starting test: test_invalid_password
2026-02-18 15:06:39,354 | INFO     | test_login | starting test: test_blank_credentials
2026-02-18 15:06:56,216 | INFO     | test_login | starting test: test_login_btn_enabled
