2026-02-18 14:27:59,926 | INFO     | test | Logger initialized
2026-02-18 14:28:04,299 | INFO     | test_login | Starting test: test_valid_login
2026-02-18 14:28:05,160 | INFO     | test_login | Navigated to https://www.saucedemo.com
2026-02-18 14:28:05,163 | INFO     | pages.login_page | Starting login process.
2026-02-18 14:28:05,438 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 14:28:05,484 | INFO     | pages.login_page | Entering password.
2026-02-18 14:28:05,625 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 14:28:05,626 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 14:28:05,826 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 14:28:05,826 | INFO     | pages.login_page | Checking if login was successful.
2026-02-18 14:28:08,867 | INFO     | pages.login_page | No alert detected, checking dashboard element.
2026-02-18 14:28:08,887 | INFO     | pages.login_page | Login successful
2026-02-18 14:28:08,887 | INFO     | test_login | Login successful with valid credentials.
2026-02-18 14:28:08,896 | INFO     | test_login | Starting test: test_invalid_login
2026-02-18 14:28:08,975 | INFO     | test_login | Navigated to https://www.saucedemo.com
2026-02-18 14:28:08,976 | INFO     | pages.login_page | Starting login process.
2026-02-18 14:28:09,149 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 14:28:09,190 | INFO     | pages.login_page | Entering password.
2026-02-18 14:28:09,335 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 14:28:09,335 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 14:28:09,476 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 14:28:09,534 | INFO     | test_login | Actual error message: Epic sadface: Username and password do not match any user in this service
2026-02-18 14:28:09,534 | INFO     | test_login | Invalid login correctly showed expected error message
2026-02-18 14:28:09,539 | INFO     | test_login | starting test: test_invalid_username
2026-02-18 14:28:09,596 | INFO     | test_login | navigated to https://www.saucedemo.com
2026-02-18 14:28:09,597 | INFO     | pages.login_page | Starting login process.
2026-02-18 14:28:09,740 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 14:28:09,753 | INFO     | pages.login_page | Entering password.
2026-02-18 14:28:09,909 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 14:28:09,909 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 14:28:10,032 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 14:28:10,061 | INFO     | test_login | Actual error message: Epic sadface: Username is required
2026-02-18 14:28:10,062 | INFO     | test_login | Invalid username correctly showed expected error message
2026-02-18 14:28:10,067 | INFO     | test_login | starting test: test_invalid_password
2026-02-18 14:28:10,108 | INFO     | test_login | navigated to https://www.saucedemo.com
2026-02-18 14:28:10,109 | INFO     | pages.login_page | Starting login process.
2026-02-18 14:28:10,276 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 14:28:10,292 | INFO     | pages.login_page | Entering password.
2026-02-18 14:28:10,435 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 14:28:10,436 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 14:28:10,532 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 14:28:10,560 | INFO     | test_login | Actual error message: Epic sadface: Password is required
2026-02-18 14:28:10,560 | INFO     | test_login | Invalid password correctly showed expected error message
