2026-02-18 13:33:21,626 | INFO     | test | Logger initialized
2026-02-18 13:33:31,955 | INFO     | test_login | Starting test: test_valid_login
2026-02-18 13:33:34,467 | INFO     | test_login | Navigated to https://www.saucedemo.com
2026-02-18 13:33:34,476 | INFO     | pages.login_page | Starting login process.
2026-02-18 13:33:34,847 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 13:33:34,910 | INFO     | pages.login_page | Entering password.
2026-02-18 13:33:35,308 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 13:33:35,309 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 13:33:35,604 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 13:33:35,604 | INFO     | pages.login_page | Checking if login was successful.
2026-02-18 13:33:38,641 | INFO     | pages.login_page | No alert detected, checking dashboard element.
2026-02-18 13:33:38,658 | INFO     | pages.login_page | Login successful
2026-02-18 13:33:38,659 | INFO     | test_login | Login successful with valid credentials.
2026-02-18 13:33:38,670 | INFO     | test_login | Starting test: test_invalid_login
2026-02-18 13:33:38,796 | INFO     | test_login | Navigated to https://www.saucedemo.com
2026-02-18 13:33:38,799 | INFO     | pages.login_page | Starting login process.
2026-02-18 13:33:38,948 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 13:33:38,960 | INFO     | pages.login_page | Entering password.
2026-02-18 13:33:39,084 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 13:33:39,085 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 13:33:39,251 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 13:33:39,328 | INFO     | test_login | Actual error message: Epic sadface: Username and password do not match any user in this service
2026-02-18 13:33:39,328 | INFO     | test_login | Invalid login correctly showed expected error message
