2026-02-09 22:42:46,460 | INFO     | test | Logger initialized
2026-02-09 22:42:50,378 | INFO     | test_login | Starting test: test_valid_login
2026-02-09 22:42:51,089 | INFO     | test_login | Navigated to https://www.saucedemo.com
2026-02-09 22:42:51,090 | INFO     | pages.login_page | Starting login process.
2026-02-09 22:42:51,335 | INFO     | pages.login_page | Username entered successfully.
2026-02-09 22:42:51,351 | INFO     | pages.login_page | Entering password.
2026-02-09 22:42:51,458 | INFO     | pages.login_page | Password entered successfully.
2026-02-09 22:42:51,460 | INFO     | pages.login_page | Clicking the login button.
2026-02-09 22:42:51,606 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-09 22:42:51,606 | INFO     | pages.login_page | Checking if login was successful.
2026-02-09 22:42:54,636 | INFO     | pages.login_page | No alert detected, checking dashboard element.
2026-02-09 22:42:54,658 | INFO     | pages.login_page | Login successful
2026-02-09 22:42:54,659 | INFO     | test_login | Login successful with valid credentials.
2026-02-09 22:42:54,673 | INFO     | test_login | Starting test: test_invalid_login
2026-02-09 22:42:54,800 | INFO     | test_login | Navigated to https://www.saucedemo.com
2026-02-09 22:42:54,801 | INFO     | pages.login_page | Starting login process.
2026-02-09 22:42:54,880 | INFO     | pages.login_page | Username entered successfully.
2026-02-09 22:42:54,888 | INFO     | pages.login_page | Entering password.
2026-02-09 22:42:54,952 | INFO     | pages.login_page | Password entered successfully.
2026-02-09 22:42:54,952 | INFO     | pages.login_page | Clicking the login button.
2026-02-09 22:42:55,065 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-09 22:42:55,098 | INFO     | test_login | Actual error message: Epic sadface: Username and password do not match any user in this service
2026-02-09 22:42:55,098 | INFO     | test_login | Invalid login correctly showed expected error message
