2026-02-18 13:56:20,111 | INFO     | test | Logger initialized
2026-02-18 13:56:25,080 | INFO     | test_login | starting test: test_invalid_username
2026-02-18 13:56:26,359 | INFO     | test_login | navigated to https://www.saucedemo.com
2026-02-18 13:56:26,360 | INFO     | pages.login_page | Starting login process.
2026-02-18 13:56:26,656 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 13:56:26,673 | INFO     | pages.login_page | Entering password.
2026-02-18 13:56:26,807 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 13:56:26,808 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 13:56:26,949 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 13:56:26,994 | INFO     | test_login | Actual error message: Epic sadface: Username and password do not match any user in this service
