2026-02-09 22:36:11,221 | INFO     | test | Logger initialized
2026-02-09 22:36:14,417 | INFO     | test_login | Starting test: test_invalid_login
2026-02-09 22:36:15,389 | INFO     | test_login | Navigated to https://www.saucedemo.com
2026-02-09 22:36:15,391 | INFO     | pages.login_page | Starting login process.
2026-02-09 22:36:15,615 | INFO     | pages.login_page | Username entered successfully.
2026-02-09 22:36:15,632 | INFO     | pages.login_page | Entering password.
2026-02-09 22:36:15,764 | INFO     | pages.login_page | Password entered successfully.
2026-02-09 22:36:15,765 | INFO     | pages.login_page | Clicking the login button.
2026-02-09 22:36:15,899 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-09 22:36:15,901 | INFO     | pages.login_page | Checking if login was successful.
2026-02-09 22:36:18,932 | INFO     | pages.login_page | No alert detected, checking dashboard element.
2026-02-09 22:36:29,292 | ERROR    | pages.login_page | Dashboard not found after login
