2026-02-18 15:13:14,305 | INFO     | test | Logger initialized
2026-02-18 15:13:18,353 | INFO     | test_login | Starting test: test_valid_login
2026-02-18 15:13:19,539 | INFO     | test_login | Navigated to https://www.saucedemo.com
2026-02-18 15:13:19,540 | INFO     | pages.login_page | Starting login process.
2026-02-18 15:13:19,719 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 15:13:19,737 | INFO     | pages.login_page | Entering password.
2026-02-18 15:13:19,819 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 15:13:19,820 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 15:13:19,952 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 15:13:19,952 | INFO     | pages.login_page | Checking if login was successful.
2026-02-18 15:13:22,989 | INFO     | pages.login_page | No alert detected, checking dashboard element.
2026-02-18 15:13:23,005 | INFO     | pages.login_page | Login successful
2026-02-18 15:13:23,005 | INFO     | test_login | Login successful with valid credentials.
2026-02-18 15:13:23,009 | INFO     | test_login | Starting test: test_invalid_login
2026-02-18 15:13:23,084 | INFO     | test_login | Navigated to https://www.saucedemo.com
2026-02-18 15:13:23,085 | INFO     | pages.login_page | Starting login process.
2026-02-18 15:13:23,221 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 15:13:23,233 | INFO     | pages.login_page | Entering password.
2026-02-18 15:13:23,307 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 15:13:23,308 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 15:13:23,384 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 15:13:23,408 | INFO     | test_login | Actual error message: Epic sadface: Username and password do not match any user in this service
2026-02-18 15:13:23,409 | INFO     | test_login | Invalid login correctly showed expected error message
2026-02-18 15:13:23,410 | INFO     | test_login | starting test: test_invalid_username
2026-02-18 15:13:23,450 | INFO     | test_login | navigated to https://www.saucedemo.com
2026-02-18 15:13:23,451 | INFO     | pages.login_page | Starting login process.
2026-02-18 15:13:23,529 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 15:13:23,535 | INFO     | pages.login_page | Entering password.
2026-02-18 15:13:23,597 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 15:13:23,597 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 15:13:23,647 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 15:13:23,662 | INFO     | test_login | Actual error message: Epic sadface: Username is required
2026-02-18 15:13:23,663 | INFO     | test_login | Invalid username correctly showed expected error message
2026-02-18 15:13:23,664 | INFO     | test_login | starting test: test_invalid_password
2026-02-18 15:13:23,700 | INFO     | test_login | navigated to https://www.saucedemo.com
2026-02-18 15:13:23,700 | INFO     | pages.login_page | Starting login process.
2026-02-18 15:13:23,822 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 15:13:23,832 | INFO     | pages.login_page | Entering password.
2026-02-18 15:13:23,906 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 15:13:23,906 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 15:13:23,969 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 15:13:23,982 | INFO     | test_login | Actual error message: Epic sadface: Password is required
2026-02-18 15:13:23,982 | INFO     | test_login | Invalid password correctly showed expected error message
2026-02-18 15:13:23,983 | INFO     | test_login | starting test: test_blank_credentials
2026-02-18 15:13:24,015 | INFO     | test_login | navigated to https://www.saucedemo.com
2026-02-18 15:13:24,017 | INFO     | pages.login_page | Starting login process.
2026-02-18 15:13:24,079 | INFO     | pages.login_page | Username entered successfully.
2026-02-18 15:13:24,086 | INFO     | pages.login_page | Entering password.
2026-02-18 15:13:24,148 | INFO     | pages.login_page | Password entered successfully.
2026-02-18 15:13:24,148 | INFO     | pages.login_page | Clicking the login button.
2026-02-18 15:13:24,198 | INFO     | pages.login_page | Login button clicked successfully.
2026-02-18 15:13:24,216 | INFO     | test_login | Actual error message: Epic sadface: Username is required
2026-02-18 15:13:24,217 | INFO     | test_login | Blank credentials correctly showed expected error message
2026-02-18 15:13:24,218 | INFO     | test_login | starting test: test_login_btn_enabled
2026-02-18 15:13:24,258 | INFO     | test_login | navigated to https://www.saucedemo.com
2026-02-18 15:13:24,436 | INFO     | test_login | Login button is enabled before username and password are entered
